import time: self [us] | cumulative | imported package
import time:       229 |        229 |             pandas.io.excel._xlrd
import time:      1326 |       2755 |           pandas.io.excel._base
import time:       210 |        210 |           pandas.io.excel._odswriter
import time:       328 |        328 |           pandas.io.excel._xlsxwriter
import time:       117 |       3408 |         pandas.io.excel
import time:       208 |        208 |         pandas.io.feather_format
import time:       112 |        112 |         pandas.io.gbq
import time:       622 |        622 |         pandas.io.html
import time:       148 |        148 |         pandas.io.orc
import time:       492 |        492 |         pandas.io.parquet
import time:       186 |        186 |           pandas.compat.pickle_compat
import time:       272 |        458 |         pandas.io.pickle
import time:       400 |        400 |           pandas.core.computation.pytables
import time:      1567 |       1967 |         pandas.io.pytables
import time:       222 |        222 |           pandas.io.sas.sasreader
import time:       121 |        343 |         pandas.io.sas
import time:       114 |        114 |         pandas.io.spss
import time:       721 |        721 |         pandas.io.sql
import time:       643 |        643 |         pandas.io.xml
import time:       247 |       9592 |       pandas.io.api
import time:       116 |        116 |       pandas.util._tester
import time:        81 |         81 |       pandas._version_meson
import time:       328 |     142238 |     pandas
import time:       566 |     262740 |   digital_rf.digital_metadata
import time:      3577 |       3577 |     digital_rf._py_rf_write_hdf5
import time:       519 |       4095 |   digital_rf.digital_rf_hdf5
import time:       173 |        173 |     filecmp
import time:       100 |        100 |       watchdog
import time:       248 |        248 |         watchdog.utils
import time:       149 |        397 |       watchdog.utils.patterns
import time:       780 |       1276 |     watchdog.events
import time:        71 |         71 |           watchdog.utils.platform
import time:        31 |         31 |                   _heapq
import time:       131 |        161 |                 heapq
import time:       171 |        171 |                 _queue
import time:       218 |        549 |               queue
import time:       118 |        118 |               watchdog.utils.bricks
import time:       316 |        982 |             watchdog.observers.api
import time:       159 |        159 |                 ctypes.util
import time:       459 |        617 |               watchdog.observers.inotify_c
import time:       174 |        174 |               watchdog.utils.delayed_queue
import time:       170 |        960 |             watchdog.observers.inotify_buffer
import time:       244 |       2185 |           watchdog.observers.inotify
import time:       169 |       2425 |         watchdog.observers
import time:       223 |        223 |           watchdog.utils.dirsnapshot
import time:       205 |        427 |         watchdog.observers.polling
import time:       239 |       3090 |       digital_rf.watchdog_drf
import time:       464 |       3553 |     digital_rf.ringbuffer
import time:       285 |       5286 |   digital_rf.mirror
import time:       335 |     276654 | digital_rf
import time:      1268 |       1268 | configparser
import time:       213 |        213 |   polars._cpu_check
import time:      3316 |       3316 |   polars.polars
import time:        80 |         80 |                       polars._utils.constants
import time:       193 |        272 |                     polars._utils.convert
import time:        94 |         94 |                     polars._utils.scan
import time:      1490 |       1490 |                           polars.datatypes.classes
import time:       463 |        463 |                             polars.dependencies
import time:       329 |        792 |                           polars.datatypes.convert
import time:       175 |       2455 |                         polars.datatypes._parse
import time:        92 |         92 |                         polars.datatypes.constants
import time:       162 |        162 |                         polars.datatypes.constructor
import time:       117 |       2825 |                       polars.datatypes
import time:       218 |        218 |                       polars.datatypes.group
import time:       440 |       3481 |                     polars._utils.various
import time:        89 |       3935 |                   polars._utils
import time:       245 |        245 |                     polars.exceptions
import time:       200 |        445 |                   polars._utils.parse.expr
import time:       107 |       4485 |                 polars._utils.parse
import time:        94 |         94 |                 polars._utils.wrap
import time:       138 |       4717 |               polars.functions.aggregation.horizontal
import time:        93 |         93 |               polars.functions.aggregation.vertical
import time:       113 |       4922 |             polars.functions.aggregation
import time:        80 |         80 |               polars._utils.unstable
import time:       171 |        250 |             polars.functions.as_datatype
import time:        86 |         86 |             polars.functions.business
import time:       134 |        134 |             polars.functions.col
import time:      1770 |       1770 |               polars._typing
import time:       200 |       1969 |             polars.functions.eager
import time:       110 |        110 |             polars.functions.escape_regex
import time:       183 |        183 |               polars._utils.async_
import time:       149 |        149 |               polars._utils.deprecation
import time:       521 |        852 |             polars.functions.lazy
import time:       106 |        106 |             polars.functions.len
import time:       125 |        125 |             polars.functions.lit
import time:        72 |         72 |             polars.functions.random
import time:        65 |         65 |                 polars.functions.range._utils
import time:       170 |        234 |               polars.functions.range.date_range
import time:       115 |        115 |               polars.functions.range.datetime_range
import time:       119 |        119 |               polars.functions.range.int_range
import time:       168 |        168 |               polars.functions.range.linear_space
import time:       129 |        129 |               polars.functions.range.time_range
import time:       101 |        864 |             polars.functions.range
import time:       148 |        148 |             polars.functions.repeat
import time:       104 |        104 |             polars.functions.whenthen
import time:       197 |       9933 |           polars.functions
import time:       137 |        137 |               polars._utils.construction.utils
import time:        70 |         70 |                   polars._utils.polars_version
import time:       107 |        177 |                 polars.meta.build
import time:        70 |         70 |                 polars.meta.index_type
import time:        93 |         93 |                 polars.meta.thread_pool
import time:        88 |         88 |                 polars.meta.versions
import time:       108 |        534 |               polars.meta
import time:       520 |       1190 |             polars._utils.construction.dataframe
import time:       104 |        104 |             polars._utils.construction.other
import time:       217 |        217 |             polars._utils.construction.series
import time:       102 |       1612 |           polars._utils.construction
import time:       142 |        142 |             polars._utils.slice
import time:       185 |        327 |           polars._utils.getitem
import time:        93 |         93 |           polars._utils.pycapsule
import time:        88 |         88 |           polars._utils.serde
import time:       146 |        146 |           polars.dataframe._html
import time:       287 |        287 |           polars.dataframe.group_by
import time:       129 |        129 |           polars.dataframe.plotting
import time:       903 |        903 |               polars.interchange.protocol
import time:        94 |        997 |             polars.interchange
import time:        23 |       1019 |           polars.interchange.protocol
import time:       207 |        207 |           polars.schema
import time:       175 |        175 |                 polars.expr.array
import time:       140 |        140 |                 polars.expr.binary
import time:        95 |         95 |                 polars.expr.categorical
import time:       385 |        385 |                 polars.expr.datetime
import time:       255 |        255 |                 polars.expr.list
import time:       234 |        234 |                 polars.expr.meta
import time:       120 |        120 |                 polars.expr.name
import time:       514 |        514 |                 polars.expr.string
import time:       148 |        148 |                 polars.expr.struct
import time:      2015 |       4077 |               polars.expr.expr
import time:       231 |        231 |               polars.expr.whenthen
import time:       107 |       4414 |             polars.expr
import time:       416 |       4829 |           polars.selectors
import time:      1995 |      20660 |         polars.dataframe.frame
import time:        80 |      20739 |       polars.dataframe
import time:       129 |        129 |         polars.lazyframe.engine_config
import time:       191 |        191 |           polars.lazyframe.group_by
import time:        91 |         91 |           polars.lazyframe.in_process
import time:      1374 |       1655 |         polars.lazyframe.frame
import time:       117 |       1900 |       polars.lazyframe
import time:        99 |         99 |           polars.datatypes._utils
import time:       141 |        141 |             polars.series.utils
import time:       508 |        648 |           polars.series.array
import time:       261 |        261 |           polars.series.binary
import time:       276 |        276 |           polars.series.categorical
import time:       845 |        845 |           polars.series.datetime
import time:       768 |        768 |           polars.series.list
import time:       151 |        151 |           polars.series.plotting
import time:      1066 |       1066 |           polars.series.string
import time:       211 |        211 |           polars.series.struct
import time:      3718 |       8037 |         polars.series.series
import time:       105 |       8142 |       polars.series
import time:        90 |      30869 |     polars._reexport
import time:       227 |      31096 |   polars.api
import time:       154 |        154 |   polars.plugins
import time:        76 |         76 |     polars.catalog
import time:      1896 |       1896 |       polars.catalog.unity.models
import time:       248 |       2143 |     polars.catalog.unity.client
import time:       123 |       2341 |   polars.catalog.unity
import time:       831 |        831 |   polars.config
import time:       281 |        281 |     polars.convert.general
import time:       143 |        143 |     polars.convert.normalize
import time:       121 |        544 |   polars.convert
import time:       135 |        135 |       polars.io._utils
import time:       131 |        266 |     polars.io.avro
import time:        72 |         72 |             polars.io.csv._utils
import time:       164 |        236 |           polars.io.csv.batched_reader
import time:        73 |         73 |                         polars._utils.logging
import time:       521 |        594 |                       polars.io.cloud.credential_provider._providers
import time:       105 |        699 |                     polars.io.cloud.credential_provider
import time:        21 |        720 |                   polars.io.cloud.credential_provider._providers
import time:        97 |        816 |                 polars.io.cloud
import time:        16 |        832 |               polars.io.cloud.credential_provider
import time:       254 |       1085 |             polars.io.cloud.credential_provider._builder
import time:       534 |       1619 |           polars.io.csv.functions
import time:        88 |       1941 |         polars.io.csv
import time:       107 |       2048 |       polars.io.csv.functions
import time:        79 |       2126 |     polars.io.clipboard
import time:        95 |         95 |                   concurrent
import time:       522 |        522 |                   concurrent.futures._base
import time:       137 |        752 |                 concurrent.futures
import time:       198 |        198 |                   _socket
import time:       569 |        569 |                   array
import time:      1209 |       1975 |                 socket
import time:       895 |        895 |                   _ssl
import time:      1792 |       2686 |                 ssl
import time:       199 |        199 |                 asyncio.constants
import time:       104 |        104 |                 asyncio.coroutines
import time:        99 |         99 |                   asyncio.format_helpers
import time:       199 |        199 |                     asyncio.base_futures
import time:       156 |        156 |                     asyncio.exceptions
import time:       103 |        103 |                     asyncio.base_tasks
import time:       266 |        722 |                   _asyncio
import time:       392 |       1212 |                 asyncio.events
import time:       186 |        186 |                 asyncio.futures
import time:       148 |        148 |                 asyncio.protocols
import time:       192 |        192 |                   asyncio.transports
import time:        72 |         72 |                   asyncio.log
import time:       525 |        787 |                 asyncio.sslproto
import time:        82 |         82 |                     asyncio.mixins
import time:       346 |        428 |                   asyncio.locks
import time:       331 |        331 |                     asyncio.timeouts
import time:       337 |        667 |                   asyncio.tasks
import time:       223 |       1316 |                 asyncio.staggered
import time:       129 |        129 |                 asyncio.trsock
import time:       820 |      10309 |               asyncio.base_events
import time:       253 |        253 |               asyncio.runners
import time:       203 |        203 |               asyncio.queues
import time:       307 |        307 |               asyncio.streams
import time:       179 |        179 |               asyncio.subprocess
import time:       116 |        116 |               asyncio.taskgroups
import time:        68 |         68 |               asyncio.threads
import time:       226 |        226 |                 asyncio.base_subprocess
import time:       442 |        442 |                 asyncio.selector_events
import time:       674 |       1340 |               asyncio.unix_events
import time:       178 |      12949 |             asyncio
import time:       264 |        264 |             concurrent.futures.thread
import time:       120 |      13333 |           polars.io.database._utils
import time:       131 |      13463 |         polars.io.database._cursor_proxies
import time:       170 |        170 |           polars.io.database._arrow_registry
import time:       153 |        153 |           polars.io.database._inference
import time:       270 |        592 |         polars.io.database._executor
import time:       162 |      14216 |       polars.io.database.functions
import time:        97 |      14312 |     polars.io.database
import time:       274 |        274 |         polars.io.parquet.functions
import time:        83 |        357 |       polars.io.parquet
import time:        86 |         86 |             polars.io.pyarrow_dataset.anonymous_scan
import time:       122 |        208 |           polars.io.pyarrow_dataset.functions
import time:        80 |        287 |         polars.io.pyarrow_dataset
import time:        18 |        305 |       polars.io.pyarrow_dataset.functions
import time:       153 |        814 |     polars.io.delta
import time:       170 |        170 |     polars.io.iceberg
import time:       401 |        401 |       polars.io.ipc.functions
import time:        88 |        488 |     polars.io.ipc
import time:       115 |        115 |       polars.io.json.read
import time:        97 |        212 |     polars.io.json
import time:       160 |        160 |     polars.io.ndjson
import time:       429 |        429 |       polars.io.spreadsheet.functions
import time:        94 |        522 |     polars.io.spreadsheet
import time:       133 |      19200 |   polars.io
import time:       293 |        293 |     polars.sql.context
import time:        99 |         99 |     polars.sql.functions
import time:       111 |        502 |   polars.sql
import time:       112 |        112 |   polars.string_cache
import time:       643 |      58947 | polars
import time:       186 |        186 | polars.io.cloud._utils
