import time: self [us] | cumulative | imported package
import time:       265 |        265 |                         numpy.lib.stride_tricks
import time:       457 |        721 |                       numpy.lib.twodim_base
import time:       411 |        411 |                       numpy.linalg._umath_linalg
import time:       302 |        302 |                         numpy._typing._nested_sequence
import time:       120 |        120 |                         numpy._typing._nbit
import time:      1072 |       1072 |                         numpy._typing._char_codes
import time:       416 |        416 |                         numpy._typing._scalars
import time:       148 |        148 |                         numpy._typing._shape
import time:      1881 |       1881 |                         numpy._typing._dtype_like
import time:      2532 |       2532 |                         numpy._typing._array_like
import time:       949 |       7416 |                       numpy._typing
import time:      1991 |      13789 |                     numpy.linalg.linalg
import time:       176 |      13965 |                   numpy.linalg
import time:       357 |      14321 |                 numpy.matrixlib.defmatrix
import time:       193 |      14514 |               numpy.matrixlib
import time:       363 |        363 |                 numpy.lib.histograms
import time:      1531 |       1894 |               numpy.lib.function_base
import time:      1457 |      17864 |             numpy.lib.index_tricks
import time:       636 |        636 |             numpy.lib.nanfunctions
import time:       467 |        467 |             numpy.lib.shape_base
import time:       764 |        764 |             numpy.lib.polynomial
import time:       100 |        100 |                 _wmi
import time:      1062 |       1162 |               platform
import time:       855 |       2016 |             numpy.lib.utils
import time:       473 |        473 |             numpy.lib.arraysetops
import time:       280 |        280 |               numpy.lib.format
import time:       295 |        295 |               numpy.lib._datasource
import time:       436 |        436 |               numpy.lib._iotools
import time:       923 |       1932 |             numpy.lib.npyio
import time:       185 |        185 |             numpy.lib.arrayterator
import time:       273 |        273 |             numpy.lib.arraypad
import time:       165 |        165 |             numpy.lib._version
import time:      1184 |      27214 |           numpy.lib
import time:       170 |        170 |               numpy.fft._pocketfft_internal
import time:       582 |        751 |             numpy.fft._pocketfft
import time:       192 |        192 |             numpy.fft.helper
import time:       274 |       1215 |           numpy.fft
import time:       270 |        270 |               numpy.polynomial.polyutils
import time:       566 |        566 |               numpy.polynomial._polybase
import time:       577 |       1411 |             numpy.polynomial.polynomial
import time:       437 |        437 |             numpy.polynomial.chebyshev
import time:       415 |        415 |             numpy.polynomial.legendre
import time:       448 |        448 |             numpy.polynomial.hermite
import time:       378 |        378 |             numpy.polynomial.hermite_e
import time:       370 |        370 |             numpy.polynomial.laguerre
import time:       481 |       3937 |           numpy.polynomial
import time:       872 |        872 |                     backports_abc
import time:       830 |       1702 |                   numpy.random._common
import time:        96 |         96 |                       binascii
import time:       337 |        433 |                     base64
import time:      2619 |       2619 |                       _hashlib
import time:        77 |         77 |                         _blake2
import time:       349 |        426 |                       hashlib
import time:       358 |       3402 |                     hmac
import time:        38 |         38 |                         _bisect
import time:       208 |        245 |                       bisect
import time:        42 |         42 |                       _random
import time:        53 |         53 |                       _sha2
import time:       647 |        986 |                     random
import time:       277 |       5097 |                   secrets
import time:       687 |       7485 |                 numpy.random.bit_generator
import time:       317 |        317 |                 numpy.random._bounded_integers
import time:       245 |        245 |                 numpy.random._mt19937
import time:      1157 |       9203 |               numpy.random.mtrand
import time:       285 |        285 |               numpy.random._philox
import time:       281 |        281 |               numpy.random._pcg64
import time:       240 |        240 |               numpy.random._sfc64
import time:       722 |        722 |               numpy.random._generator
import time:       455 |      11184 |             numpy.random._pickle
import time:       274 |      11457 |           numpy.random
import time:       548 |        548 |           numpy.ctypeslib
import time:      3534 |       3534 |             numpy.ma.core
import time:      1381 |       1381 |             numpy.ma.extras
import time:       328 |       5242 |           numpy.ma
import time:      2067 |      88083 |         numpy
import time:       338 |      89889 |       h5py.version
import time:        95 |         95 |                 numpy._core
import time:       233 |        327 |               numpy._core._multiarray_umath
import time:       170 |        170 |               h5py.utils
import time:        67 |         67 |                   _locale
import time:       728 |        794 |                 locale
import time:       461 |        461 |                 signal
import time:        54 |         54 |                 fcntl
import time:        52 |         52 |                 msvcrt
import time:        26 |         26 |                 _posixsubprocess
import time:        47 |         47 |                 select
import time:       389 |        389 |                 selectors
import time:       573 |       2392 |               subprocess
import time:      2105 |       4992 |             h5py.h5t
import time:       337 |        337 |             h5py.h5s
import time:       222 |        222 |             h5py.h5ac
import time:       820 |       6369 |           h5py.h5p
import time:       228 |       6597 |         h5py.h5r
import time:       163 |        163 |         h5py._proxy
import time:       422 |       7181 |       h5py._conv
import time:       193 |        193 |       h5py.h5z
import time:       351 |        351 |       h5py.h5a
import time:       550 |        550 |       h5py.h5d
import time:       260 |        260 |       h5py.h5ds
import time:       342 |        342 |         h5py.h5g
import time:       187 |        187 |         h5py.h5i
import time:       282 |        282 |         h5py.h5o
import time:       588 |       1397 |       h5py.h5f
import time:       260 |        260 |       h5py.h5fd
import time:       218 |        218 |       h5py.h5pl
import time:       100 |        100 |       h5py._hl
import time:       112 |        112 |           h5py._hl.compat
import time:       453 |        565 |         h5py._hl.base
import time:       303 |        867 |       h5py._hl.filters
import time:       341 |        341 |           h5py.h5l
import time:        48 |         48 |               backports_abc
import time:       375 |        422 |             h5py._selector
import time:       204 |        204 |             h5py._hl.selections
import time:       126 |        126 |             h5py._hl.selections2
import time:       114 |        114 |             h5py._hl.datatype
import time:       844 |        844 |             h5py._hl.vds
import time:       516 |       2224 |           h5py._hl.dataset
import time:       363 |       2927 |         h5py._hl.group
import time:       328 |       3254 |       h5py._hl.files
import time:        51 |         51 |           _uuid
import time:       335 |        385 |         uuid
import time:       316 |        701 |       h5py._hl.attrs
import time:       570 |     107433 |     h5py
import time:       117 |        117 |       packaging
import time:       102 |        102 |       packaging._structures
import time:      1689 |       1907 |     packaging.version
import time:       135 |        135 |         importlib._abc
import time:       125 |        260 |       importlib.util
import time:       716 |        975 |     six
import time:        45 |         45 |     six.moves
import time:        34 |         34 |     six.moves.urllib
import time:       181 |        181 |         pytz.exceptions
import time:       211 |        211 |         pytz.lazy
import time:       304 |        304 |         pytz.tzinfo
import time:       128 |        128 |         pytz.tzfile
import time:       478 |       1301 |       pytz
import time:       105 |        105 |             dateutil._version
import time:       159 |        263 |           dateutil
import time:       673 |        673 |             calendar
import time:        96 |         96 |             dateutil._common
import time:       186 |        186 |               dateutil.tz._common
import time:       149 |        149 |               dateutil.tz._factories
import time:        21 |         21 |                 six.moves.winreg
import time:       162 |        182 |               dateutil.tz.win
import time:       697 |       1212 |             dateutil.tz.tz
import time:       991 |       2970 |           dateutil.parser._parser
import time:       241 |        241 |           dateutil.parser.isoparser
import time:       183 |       3657 |         dateutil.parser
import time:       136 |       3793 |       digital_rf.util
import time:       888 |       5981 |     digital_rf.list_drf
import time:       122 |        122 |             _json
import time:       262 |        384 |           json.scanner
import time:       341 |        725 |         json.decoder
import time:       346 |        346 |         json.encoder
import time:       160 |       1230 |       json
import time:       119 |       1348 |     digital_rf._version
import time:       341 |        341 |           sysconfig
import time:       468 |        468 |           _sysconfigdata__x86_64-linux-gnu
import time:       559 |       1367 |         pandas.compat._constants
import time:       172 |        172 |         pandas.compat.compressors
import time:        78 |         78 |             pandas.util
import time:      1534 |       1612 |           pandas.util.version
import time:       192 |       1803 |         pandas.compat.numpy
import time:        42 |         42 |           pyarrow
import time:       105 |        147 |         pandas.compat.pyarrow
import time:       188 |       3675 |       pandas.compat
import time:      2110 |       2110 |           pandas._typing
import time:       143 |        143 |           pandas.util._exceptions
import time:       673 |       2925 |         pandas._config.config
import time:       187 |        187 |         pandas._config.dates
import time:       123 |        123 |         pandas._config.display
import time:       168 |       3401 |       pandas._config
import time:        86 |         86 |         pandas.core
import time:       660 |        745 |       pandas.core.config_init
import time:       157 |        157 |           pandas._libs.pandas_parser
import time:       122 |        122 |           pandas._libs.pandas_datetime
import time:       153 |        153 |                       pandas._libs.tslibs.ccalendar
import time:       254 |        254 |                       pandas._libs.tslibs.np_datetime
import time:       718 |       1124 |                     pandas._libs.tslibs.dtypes
import time:       153 |        153 |                       pandas._libs.tslibs.base
import time:       274 |        274 |                           pandas._libs.tslibs.nattype
import time:       140 |        140 |                               pandas.compat._optional
import time:       170 |        170 |                                 zoneinfo._tzpath
import time:       145 |        145 |                                 zoneinfo._common
import time:       161 |        161 |                                 _zoneinfo
import time:       155 |        629 |                               zoneinfo
import time:       369 |       1136 |                             pandas._libs.tslibs.timezones
import time:       561 |        561 |                               _strptime
import time:       185 |        185 |                               pandas._config.localization
import time:       437 |       1182 |                             pandas._libs.tslibs.fields
import time:       723 |       3040 |                           pandas._libs.tslibs.timedeltas
import time:       322 |        322 |                           pandas._libs.tslibs.tzconversion
import time:        60 |         60 |                           backports_abc
import time:       739 |       4432 |                         pandas._libs.tslibs.timestamps
import time:        51 |         51 |                         backports_abc
import time:       170 |        170 |                         pandas._libs.properties
import time:      2192 |       6844 |                       pandas._libs.tslibs.offsets
import time:        49 |         49 |                         backports_abc
import time:       568 |        568 |                         pandas._libs.tslibs.strptime
import time:       629 |       1245 |                       pandas._libs.tslibs.parsing
import time:       474 |       8715 |                     pandas._libs.tslibs.conversion
import time:       472 |        472 |                     pandas._libs.tslibs.period
import time:       332 |        332 |                     pandas._libs.tslibs.vectorized
import time:       170 |      10811 |                   pandas._libs.tslibs
import time:        26 |      10836 |                 pandas._libs.tslibs.nattype
import time:       145 |        145 |                 pandas._libs.ops_dispatch
import time:       329 |      11309 |               pandas._libs.missing
import time:      1002 |      12311 |             pandas._libs.hashtable
import time:       480 |        480 |             pandas._libs.algos
import time:       506 |      13296 |           pandas._libs.interval
import time:       129 |      13702 |         pandas._libs
import time:       125 |        125 |           pandas.core.dtypes
import time:        52 |         52 |             pyarrow
import time:       738 |        790 |           pandas._libs.lib
import time:       536 |        536 |           pandas.errors
import time:       416 |        416 |             pandas.core.dtypes.generic
import time:       256 |        671 |           pandas.core.dtypes.base
import time:       147 |        147 |           pandas.core.dtypes.inference
import time:      1166 |       3433 |         pandas.core.dtypes.dtypes
import time:       219 |        219 |           pandas.core.dtypes.common
import time:       269 |        488 |         pandas.core.dtypes.missing
import time:       167 |        167 |           pandas.util._decorators
import time:        92 |         92 |               pandas.io
import time:       153 |        245 |             pandas.io._util
import time:       477 |        721 |           pandas.core.dtypes.cast
import time:       119 |        119 |             pandas.core.dtypes.astype
import time:       144 |        263 |           pandas.core.dtypes.concat
import time:        82 |         82 |             pandas.core.array_algos
import time:       196 |        196 |               pandas.core.common
import time:       213 |        409 |             pandas.core.construction
import time:       301 |        791 |           pandas.core.array_algos.take
import time:       163 |        163 |             pandas.core.indexers.utils
import time:       187 |        349 |           pandas.core.indexers
import time:       527 |       2816 |         pandas.core.algorithms
import time:       202 |        202 |             pandas.core.arrays.arrow.accessors
import time:        52 |         52 |               unicodedata
import time:       151 |        151 |               pandas.util._validators
import time:       242 |        242 |               pandas.core.missing
import time:       269 |        269 |                   pandas._libs.ops
import time:       108 |        108 |                   pandas.core.roperator
import time:        86 |         86 |                   pandas.core.computation
import time:       150 |        150 |                     pandas.core.computation.check
import time:       768 |        918 |                   pandas.core.computation.expressions
import time:       111 |        111 |                   pandas.core.ops.missing
import time:        81 |         81 |                   pandas.core.ops.dispatch
import time:        93 |         93 |                   pandas.core.ops.invalid
import time:       323 |       1986 |                 pandas.core.ops.array_ops
import time:       133 |        133 |                 pandas.core.ops.common
import time:       142 |        142 |                 pandas.core.ops.docstrings
import time:       104 |        104 |                 pandas.core.ops.mask_ops
import time:       146 |       2509 |               pandas.core.ops
import time:       248 |        248 |               pandas.core.arraylike
import time:       142 |        142 |               pandas.core.arrays._arrow_string_mixins
import time:       100 |        100 |               pandas.core.arrays._utils
import time:      1158 |       1158 |                 pandas.compat.numpy.function
import time:       108 |        108 |                 pandas.core.array_algos.quantile
import time:       183 |        183 |                 pandas.core.sorting
import time:       620 |       2068 |               pandas.core.arrays.base
import time:       625 |        625 |                 pandas.core.nanops
import time:       111 |        111 |                 pandas.core.array_algos.masked_accumulations
import time:       113 |        113 |                 pandas.core.array_algos.masked_reductions
import time:        80 |         80 |                   pandas.core.util
import time:       293 |        293 |                   pandas._libs.hashing
import time:       185 |        556 |                 pandas.core.util.hashing
import time:       840 |       2244 |               pandas.core.arrays.masked
import time:       197 |        197 |                 pandas._libs.arrays
import time:       179 |        179 |                   pandas.core.arrays.numeric
import time:       207 |        385 |                 pandas.core.arrays.floating
import time:       283 |        283 |                 pandas.core.arrays.integer
import time:        85 |         85 |                     pandas.core.array_algos.transforms
import time:       442 |        526 |                   pandas.core.arrays._mixins
import time:        93 |         93 |                     pandas.core.strings
import time:       219 |        219 |                     pandas.core.strings.base
import time:       367 |        678 |                   pandas.core.strings.object_array
import time:       352 |       1555 |                 pandas.core.arrays.numpy_
import time:       395 |       2814 |               pandas.core.arrays.string_
import time:        93 |         93 |                 pandas.tseries
import time:       312 |        404 |               pandas.tseries.frequencies
import time:      1197 |      12165 |             pandas.core.arrays.arrow.array
import time:       132 |      12497 |           pandas.core.arrays.arrow
import time:       317 |        317 |           pandas.core.arrays.boolean
import time:        47 |         47 |               _csv
import time:       264 |        310 |             csv
import time:       289 |        289 |             pandas.core.accessor
import time:       542 |        542 |             pandas.core.base
import time:        97 |         97 |             pandas.io.formats
import time:       177 |        177 |             pandas.io.formats.console
import time:       703 |       2116 |           pandas.core.arrays.categorical
import time:       458 |        458 |             pandas._libs.tslib
import time:        98 |         98 |               pandas.core.array_algos.datetimelike_accumulations
import time:      1005 |       1103 |             pandas.core.arrays.datetimelike
import time:       119 |        119 |             pandas.core.arrays._ranges
import time:        93 |         93 |             pandas.tseries.offsets
import time:       536 |       2306 |           pandas.core.arrays.datetimes
import time:       447 |        447 |             pandas.core.arrays.timedeltas
import time:       960 |       1407 |           pandas.core.arrays.interval
import time:       441 |        441 |           pandas.core.arrays.period
import time:       316 |        316 |                 pandas._libs.sparse
import time:       796 |        796 |                 pandas.io.formats.printing
import time:       663 |       1774 |               pandas.core.arrays.sparse.array
import time:       229 |       2002 |             pandas.core.arrays.sparse.accessor
import time:       118 |       2120 |           pandas.core.arrays.sparse
import time:       365 |        365 |           pandas.core.arrays.string_arrow
import time:       185 |      21750 |         pandas.core.arrays
import time:       136 |        136 |         pandas.core.flags
import time:        65 |         65 |                 backports_abc
import time:       433 |        497 |               pandas._libs.internals
import time:        83 |         83 |                 pandas.core._numba
import time:       188 |        271 |               pandas.core._numba.executor
import time:       640 |       1407 |             pandas.core.apply
import time:       164 |        164 |                   pandas._libs.indexing
import time:        86 |         86 |                     pandas.core.indexes
import time:        53 |         53 |                         backports_abc
import time:       751 |        804 |                       pandas._libs.index
import time:       248 |        248 |                       pandas._libs.writers
import time:       294 |        294 |                       pandas._libs.join
import time:       110 |        110 |                       pandas.core.array_algos.putmask
import time:       128 |        128 |                       pandas.core.indexes.frozen
import time:      1795 |       1795 |                       pandas.core.strings.accessor
import time:      1710 |       5086 |                     pandas.core.indexes.base
import time:       176 |        176 |                       pandas.core.indexes.extension
import time:       269 |        444 |                     pandas.core.indexes.category
import time:       472 |        472 |                         pandas.core.indexes.range
import time:        95 |         95 |                           pandas.core.tools
import time:       168 |        263 |                         pandas.core.tools.timedeltas
import time:       670 |       1403 |                       pandas.core.indexes.datetimelike
import time:       125 |        125 |                       pandas.core.tools.times
import time:       757 |       2285 |                     pandas.core.indexes.datetimes
import time:      1121 |       1121 |                       pandas.core.indexes.multi
import time:       240 |        240 |                       pandas.core.indexes.timedeltas
import time:       670 |       2030 |                     pandas.core.indexes.interval
import time:       890 |        890 |                     pandas.core.indexes.period
import time:       246 |      11064 |                   pandas.core.indexes.api
import time:      1011 |      12238 |                 pandas.core.indexing
import time:       111 |        111 |                 pandas.core.sample
import time:       105 |        105 |                 pandas.core.array_algos.replace
import time:       756 |        756 |                     pandas.core.internals.blocks
import time:       122 |        878 |                   pandas.core.internals.api
import time:       253 |        253 |                     pandas.core.internals.base
import time:       325 |        325 |                       pandas.core.internals.ops
import time:       628 |        953 |                     pandas.core.internals.managers
import time:       429 |       1634 |                   pandas.core.internals.array_manager
import time:       233 |        233 |                   pandas.core.internals.concat
import time:       120 |       2863 |                 pandas.core.internals
import time:       250 |        250 |                 pandas.core.internals.construction
import time:        92 |         92 |                   pandas.core.methods
import time:        73 |         73 |                     pandas.core.reshape
import time:       298 |        370 |                   pandas.core.reshape.concat
import time:       338 |        338 |                       gzip
import time:       176 |        176 |                       mmap
import time:        44 |         44 |                         pwd
import time:        36 |         36 |                         grp
import time:      1009 |       1088 |                       tarfile
import time:        92 |         92 |                           zipfile._path.glob
import time:       289 |        380 |                         zipfile._path
import time:       694 |       1074 |                       zipfile
import time:       111 |        111 |                       pandas.core.shared_docs
import time:      1471 |       4254 |                     pandas.io.common
import time:       843 |       5097 |                   pandas.io.formats.format
import time:       275 |       5833 |                 pandas.core.methods.describe
import time:        76 |         76 |                       pandas._libs.window
import time:      1127 |       1202 |                     pandas._libs.window.aggregations
import time:       219 |        219 |                       pandas._libs.window.indexers
import time:       357 |        576 |                     pandas.core.indexers.objects
import time:       114 |        114 |                     pandas.core.util.numba_
import time:       114 |        114 |                     pandas.core.window.common
import time:       157 |        157 |                     pandas.core.window.doc
import time:       147 |        147 |                     pandas.core.window.numba_
import time:       203 |        203 |                     pandas.core.window.online
import time:      1477 |       1477 |                     pandas.core.window.rolling
import time:       617 |       4602 |                   pandas.core.window.ewm
import time:       963 |        963 |                   pandas.core.window.expanding
import time:       125 |       5688 |                 pandas.core.window
import time:      4845 |      31929 |               pandas.core.generic
import time:       198 |        198 |               pandas.core.methods.selectn
