         22296485 function calls (22295808 primitive calls) in 80.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.002    0.000    0.002    0.000 {built-in method posix.rmdir}
      504    0.002    0.000    0.004    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/lit.py:24(lit)
     1466    0.002    0.000    0.004    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/compat.py:11(filename_encode)
       27    0.002    0.000    0.002    0.000 {built-in method _io.open}
       27    0.002    0.000    0.002    0.000 {built-in method posix.mkdir}
       48    0.002    0.000   50.678    1.056 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_metadata.py:220(write)
     1441    0.002    0.000    0.007    0.000 /usr/lib/python3.12/re/__init__.py:174(search)
     5945    0.001    0.000    0.003    0.000 <frozen posixpath>:41(_get_sep)
       24    0.001    0.000    0.001    0.000 {built-in method new_from_csv}
       24    0.001    0.000    0.001    0.000 {method 'drop_nulls' of 'builtins.PyLazyFrame' objects}
     5965    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1515    0.001    0.000    0.011    0.000 <frozen genericpath>:16(exists)
        1    0.001    0.001    0.001    0.001 {built-in method digital_rf._py_rf_write_hdf5.init}
       25    0.001    0.000    0.010    0.000 /home/cuong/drive/code/CSV2DRF/csv2drf.py:186(__extract_meta_from_header)
     1466    0.001    0.000    0.002    0.000 <frozen os>:812(fsencode)
     8905    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       96    0.001    0.000   10.765    0.112 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:1820(collect)
      480    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
     1080    0.001    0.000    0.004    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/parse/expr.py:20(parse_into_expression)
     2714    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa43b40}
